NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
683586076,TIM,Praça   Luiz Carlos S/N  Centro Caraubas S/N -,RN,2402303,Caraúbas,05S4725,37W3330,SIM,SIM,SIM,
683720546,VIVO,RUA SILVIO PELICO 180 ,RN,2408102,Natal,05S4736,35W1259,SIM,SIM,SIM,
683993216,VIVO,R. DES. JAIME DE AQUINO S/NCENTRO  ,RN,2409407,Pau dos Ferros,06S0656,38W1230,SIM,,,
683993453,VIVO,RUA VEREADOR AILDO MENDES1380LOTEAMENTO SAMBURÁ  ,RN,2412005,São Gonçalo do Amarante,05S4712,35W2004,SIM,,,
684029723,VIVO,RUA JOSE M. MENESCAL S/N ,RN,2401008,Apodi,05S3939,37W4753,SIM,SIM,,
684035847,VIVO,PRAIA DE JACUMA S/N ,RN,2402600,Ceará-Mirim,05S3526,35W1350,SIM,SIM,,
684051672,VIVO,RUA ESTOECEU DE BRITO S/N ,RN,2407500,Maxaranguape,05S3118,35W1529,SIM,,,
684052660,VIVO,AVENIDA GENERAL JOAO VARELA S/N ,RN,2402600,Ceará-Mirim,05S3829,35W2526,SIM,SIM,,
684171422,TIM,RUA DOS REPENTISTAS S/N ,RN,2408102,Natal,05S4355,35W1539,SIM,SIM,SIM,SIM
684171430,TIM,Rua Kerginaldo Cavalcante 211 -,RN,2408102,Natal,05S4928,35W1207,SIM,SIM,SIM,SIM
684171449,TIM,AVENIDA SANTA DOROTÉIA 100 AQUISITADO,RN,2408102,Natal,05S5106,35W1506,SIM,SIM,SIM,SIM
684171457,TIM,Avenida Antoine De Saint Exupery 18 -,RN,2408102,Natal,05S5139,35W1315,SIM,SIM,SIM,SIM
684171465,TIM,Avenida Tomaz Landim 3020 -,RN,2408102,Natal,05S4555,35W1642,,SIM,SIM,SIM
684171473,TIM,Avenida Sao Miguel Dos Caribes 4336 -,RN,2408102,Natal,05S5206,35W1228,SIM,SIM,SIM,SIM
684171481,TIM,Rua Severina Ferreira De Medeiros 258 -,RN,2408102,Natal,05S5209,35W1123,SIM,SIM,SIM,SIM
684171490,TIM,Rua Presidente Leão Veloso 441 -,RN,2408102,Natal,05S4757,35W1329,SIM,SIM,SIM,SIM
684171503,TIM,Rua Mestre Lucarino S/N -,RN,2408102,Natal,05S4619,35W1153,SIM,SIM,SIM,SIM
684177722,TIM,Rua Vereador Manoel Sátiro 248 -,RN,2408102,Natal,05S5254,35W1025,SIM,SIM,SIM,SIM
684181363,TIM,Rua Cicero Bucha 403 -,RN,2408102,Natal,05S4447,35W1222,SIM,SIM,SIM,SIM
684270706,VIVO,AVENIDA DAS FRONTEIRAS 20 ,RN,2408102,Natal,05S4512,35W1547,SIM,SIM,SIM,
684326825,VIVO,Rodovia cento e dezesseteS/NZONA RURAL  ,RN,2407401,Martins,06S0509,37W5536,SIM,,,
684326833,VIVO,PRACA SAO SEBASTIAOS/NCENTRO  ,RN,2402303,Caraúbas,05S4744,37W3336,SIM,,,
684327058,VIVO,RUA JUVENAL LAMARTINE 16 ,RN,2408003,Mossoró,05S1121,37W2043,SIM,SIM,SIM,
684407590,TIM,Rodovia Br 101 S/N Km 8 Dist. Industrial De Parnamirim,RN,2403251,Parnamirim,05S5308,35W1402,SIM,SIM,SIM,SIM
684636727,TIM,Via Costeira Senador Dinarte Medeiros Mariz S/N Ao Lado Da Estação Elevatoria De Esgoto,RN,2408102,Natal,05S5043,35W1055,SIM,SIM,SIM,
684740400,VIVO,RUA JOSÉ MAIA S/N ,RN,2405801,João Câmara,05S3214,35W4850,SIM,SIM,SIM,
684740419,VIVO,RUA PROFESSOR ZUZA 263 ,RN,2408102,Natal,05S4718,35W1220,SIM,SIM,SIM,
684740435,VIVO,Rua Nossa Senhora do Ó s/nCENTRO  ,RN,2408201,Nísia Floresta,06S0517,35W1233,SIM,,,
684748436,VIVO,RUA LEONEL LEITE 1377. ALECRIM  ,RN,2408102,Natal,05S4747,35W1306,SIM,,,
684748584,VIVO,AVENIDA  ANTOINE DE SAINT EXUPERY 18. PITIMBU  ,RN,2408102,Natal,05S5138,35W1314,SIM,,,
684748665,VIVO,RUA  EPITACIO PESSOA 11 ,RN,2408003,Mossoró,05S1058,37W2027,SIM,SIM,,
684748789,VIVO,RUA FILGUEIRA FILHO (Ao lado do n° 243)s/nALTO DE SAO MANOEL  ,RN,2408003,Mossoró,05S1214,37W1950,SIM,,,
684751305,VIVO,RUA SAMPAIO CORREIA S/N ,RN,2408102,Natal,05S4851,35W1413,SIM,SIM,SIM,
684751356,VIVO,RUA PRES CASTELO BRANCO 374 LOT. NOVA REPUBLICA,RN,2408102,Natal,05S4436,35W1425,SIM,SIM,SIM,
684752840,VIVO,RUA CAMPO FLORIDO S/N LOTE 01,RN,2408102,Natal,05S5201,35W1211,SIM,SIM,SIM,
684758814,VIVO,RUA GUSTAVO PEREIRA480MONTE CASTELO  ,RN,2403251,Parnamirim,05S5433,35W1555,SIM,,,
684760134,VIVO, AVENIDA SENADOR DINARTE MARIZ - nº S/N S/N ,RN,2408102,Natal,05S5043,35W1056,SIM,SIM,SIM,
684770407,VIVO,RUA MARIA JOSE LIRA 932 ,RN,2408102,Natal,05S4547,35W1529,SIM,SIM,SIM,
684793571,VIVO,RUA SEVERINO TAVARES S/N - LOTE 72 QUADRA 5. NOSSA SENHORA DA APRESENTACAO  ,RN,2408102,Natal,05S4543,35W1627,SIM,,,
684793610,VIVO,RUA CRESO BEZERRA 1902 ,RN,2408102,Natal,05S4805,35W1354,SIM,SIM,SIM,
684806045,VIVO,RUA  CHARLINE MAGALHAES S/NABOLICAO  ,RN,2408003,Mossoró,05S0947,37W2119,SIM,,,
